study_hours_needed,subject,previous_grade,difficulty_rating,study_efficiency,time_management,content_familiarity,stress_level,sleep_hours,days_available,exam_weight,confidence_level,study_method
22.2,biology,7,7,8,5,5,8,6.7,14,35,7,tutoring
31.2,chemistry,3,9,1,6,5,5,8.8,11,40,3,notes_review
9.9,english_sl,5,3,8,6,4,8,6.8,7,25,6,group_study
23.3,math_sl,4,4,7,5,5,5,6.4,10,35,3,group_study
24.8,math_sl,4,7,7,7,7,5,5.5,16,50,4,online_videos
12.5,english_sl,6,4,4,5,7,7,7.6,25,50,8,practice_tests
24.6,chemistry,4,7,5,5,2,5,8.8,9,35,6,tutoring
19.9,chemistry,7,6,6,7,6,6,7.4,10,20,7,flashcards
30.5,biology,5,7,6,5,5,3,6.8,8,50,5,notes_review
16.6,english_sl,5,3,5,2,4,4,6.7,9,40,6,flashcards
11.2,english_sl,6,2,8,9,7,5,8.0,9,40,4,group_study
18.1,english_sl,6,6,6,3,7,6,6.4,15,35,4,group_study
15.0,french_sl,5,7,6,7,7,6,6.1,14,25,3,flashcards
18.1,french_sl,7,6,7,5,4,4,7.7,10,20,7,group_study
16.9,chemistry,4,7,7,5,3,7,8.0,8,20,7,online_videos
16.1,english_sl,6,4,7,9,5,4,6.3,11,45,4,notes_review
22.2,math_sl,5,8,8,4,6,10,7.2,12,45,5,tutoring
14.3,french_sl,5,6,9,8,4,5,5.3,6,45,5,practice_tests
23.2,french_sl,4,6,4,3,4,4,7.7,19,25,4,practice_tests
13.0,french_sl,5,6,8,5,7,7,7.4,7,25,6,online_videos
11.2,biology,4,6,7,1,6,5,7.1,14,45,7,tutoring
19.0,english_sl,4,4,3,1,4,7,6.5,5,45,8,flashcards
22.5,english_sl,5,8,7,2,5,8,7.7,15,35,4,practice_tests
21.8,biology,5,7,5,5,5,7,7.7,14,25,8,flashcards
17.1,french_sl,6,6,7,3,6,7,8.5,13,25,6,notes_review
23.3,chemistry,5,6,4,7,6,5,7.5,15,20,7,group_study
25.4,chemistry,6,5,3,4,7,8,6.8,13,20,5,flashcards
16.0,biology,6,6,6,5,5,7,9.5,7,30,4,tutoring
13.3,english_sl,6,4,5,1,8,5,7.9,17,40,7,online_videos
27.4,chemistry,6,6,5,5,3,3,7.0,13,30,4,practice_tests
22.2,french_sl,4,5,5,4,5,8,7.7,12,50,7,group_study
20.4,biology,7,6,6,5,5,4,7.7,17,50,5,flashcards
19.3,math_sl,5,6,7,2,7,5,8.3,4,35,3,tutoring
30.2,biology,6,9,4,6,3,9,6.7,5,45,7,notes_review
15.0,french_sl,6,3,4,5,5,6,8.9,13,40,6,practice_tests
18.8,math_sl,4,7,6,6,6,4,8.6,13,25,3,online_videos
15.8,english_sl,5,6,8,7,6,4,8.8,15,30,5,online_videos
14.1,math_sl,6,6,4,5,6,9,7.1,12,20,7,tutoring
18.0,english_sl,5,6,7,2,7,6,7.7,3,50,3,notes_review
28.3,chemistry,5,6,5,7,4,7,6.3,11,25,5,online_videos
23.0,biology,5,6,6,6,7,7,6.4,14,50,4,online_videos
17.6,math_sl,6,5,6,4,6,7,5.4,13,35,4,practice_tests
25.3,math_sl,6,6,4,4,3,2,6.9,20,35,5,online_videos
21.8,math_sl,4,7,4,2,7,9,7.8,9,30,3,online_videos
19.4,biology,4,3,7,6,5,6,6.4,9,30,6,online_videos
19.7,math_sl,5,7,4,6,4,3,7.3,13,45,3,tutoring
22.4,math_sl,7,7,2,4,2,9,7.9,7,35,8,flashcards
21.0,math_sl,6,5,4,8,4,4,7.6,14,35,6,online_videos
24.5,french_sl,4,6,3,4,6,9,9.1,10,30,7,tutoring
21.9,math_sl,4,5,5,7,7,6,7.5,12,25,4,group_study
18.2,english_sl,6,6,6,4,6,4,8.9,13,30,4,practice_tests
25.3,chemistry,6,6,5,3,5,6,6.2,15,30,7,group_study
19.5,math_sl,5,5,5,5,7,4,7.4,22,20,2,flashcards
14.6,english_sl,7,6,4,6,8,8,6.6,8,40,8,practice_tests
18.8,french_sl,4,9,6,4,5,8,8.1,3,30,5,online_videos
20.8,english_sl,5,4,5,2,5,5,7.1,11,50,1,notes_review
19.8,english_sl,3,4,6,3,5,6,6.5,12,50,6,notes_review
28.7,chemistry,4,7,5,4,4,6,8.9,3,25,5,online_videos
13.1,math_sl,4,6,5,5,6,7,6.8,11,35,3,practice_tests
23.3,math_sl,5,7,6,2,3,7,7.4,18,30,7,online_videos
20.6,math_sl,6,6,4,4,5,8,7.6,15,25,7,practice_tests
22.9,biology,6,7,5,5,5,7,8.6,10,25,4,online_videos
13.6,english_sl,4,6,6,2,5,10,8.2,16,20,1,flashcards
19.7,french_sl,5,5,5,4,6,4,5.3,16,50,6,tutoring
22.9,chemistry,4,9,8,3,6,5,7.6,3,25,7,group_study
19.5,chemistry,6,6,7,5,6,8,7.8,4,50,5,group_study
24.4,chemistry,6,7,4,1,5,4,8.0,18,20,3,notes_review
23.1,english_sl,5,6,2,7,3,5,7.3,15,50,7,tutoring
11.3,english_sl,6,5,3,6,6,6,6.0,16,25,3,notes_review
17.0,french_sl,6,7,7,4,5,5,6.9,12,25,5,group_study
21.2,math_sl,6,8,6,5,8,7,6.0,3,25,5,online_videos
18.7,chemistry,3,6,5,4,3,7,7.0,13,20,4,online_videos
20.3,chemistry,5,8,5,6,8,6,6.2,10,30,5,practice_tests
16.7,math_sl,7,7,6,7,5,6,6.8,14,45,7,practice_tests
24.3,chemistry,5,7,6,3,6,10,5.3,12,30,6,practice_tests
19.9,french_sl,5,6,8,6,5,8,6.4,9,25,3,group_study
27.4,chemistry,5,7,6,3,4,6,8.2,12,30,4,practice_tests
20.4,english_sl,5,5,5,6,5,5,6.4,8,40,4,notes_review
16.6,french_sl,5,5,7,8,6,4,6.9,9,20,4,flashcards
18.5,chemistry,6,6,5,4,5,5,8.4,14,45,5,group_study
22.3,chemistry,6,8,7,4,5,9,5.3,17,40,4,notes_review
18.6,english_sl,5,7,7,5,7,6,6.7,9,30,7,notes_review
16.6,french_sl,7,3,4,7,4,4,7.6,14,25,6,group_study
22.4,chemistry,6,7,7,6,6,7,7.6,16,20,4,online_videos
22.4,chemistry,4,6,9,5,3,6,8.1,9,30,4,tutoring
14.4,english_sl,5,4,8,6,7,7,7.3,6,20,5,practice_tests
16.2,english_sl,7,5,4,4,7,7,7.6,12,40,4,notes_review
17.9,math_sl,6,7,6,5,6,7,8.6,20,35,6,online_videos
19.1,english_sl,5,6,9,4,6,4,7.9,16,30,5,group_study
20.7,biology,7,7,6,5,6,4,5.4,13,40,5,group_study
14.1,math_sl,6,6,8,7,10,5,8.9,5,50,6,practice_tests
15.3,french_sl,5,7,3,2,7,5,6.4,18,25,7,group_study
17.2,biology,5,5,5,3,5,8,9.2,15,50,3,online_videos
38.9,biology,6,8,6,5,3,8,6.4,11,25,4,tutoring
20.1,biology,6,4,5,8,7,5,6.8,20,20,5,group_study
22.9,math_sl,5,6,5,4,6,5,6.6,18,35,4,tutoring
19.6,math_sl,6,6,6,5,3,6,6.4,14,40,2,flashcards
19.1,biology,7,7,7,3,5,6,7.4,10,20,6,online_videos
16.5,french_sl,6,7,9,3,5,3,6.8,12,50,7,flashcards
11.0,english_sl,7,4,7,5,5,7,8.2,15,40,5,flashcards
16.8,biology,5,5,8,2,5,4,7.4,9,45,4,online_videos
25.9,biology,6,9,1,9,3,3,9.9,17,45,7,online_videos
15.8,english_sl,7,5,6,5,6,6,6.2,8,30,4,tutoring
18.4,biology,6,8,4,7,4,5,6.1,12,50,6,flashcards
18.0,math_sl,5,6,6,5,7,6,7.3,14,45,5,tutoring
18.5,chemistry,6,7,8,4,5,7,6.4,15,35,7,practice_tests
21.5,english_sl,6,5,3,4,4,6,5.8,12,40,7,notes_review
30.3,biology,5,9,5,10,4,8,6.6,14,50,8,tutoring
29.2,chemistry,4,5,4,4,5,4,6.5,14,40,5,online_videos
26.1,biology,5,7,3,2,5,6,5.2,17,50,7,practice_tests
16.9,chemistry,5,6,8,7,6,4,8.5,12,40,5,group_study
22.5,english_sl,4,6,6,6,4,4,6.9,12,30,4,notes_review
19.1,biology,5,7,10,5,7,6,8.2,10,45,5,online_videos
26.8,biology,4,7,3,4,4,8,7.4,11,45,5,flashcards
22.4,french_sl,5,7,7,5,3,4,6.5,11,25,5,group_study
23.5,math_sl,5,6,1,6,6,4,5.8,8,30,6,tutoring
13.5,english_sl,5,5,5,4,5,5,7.4,12,20,6,tutoring
22.0,math_sl,5,7,4,5,5,7,5.9,16,40,5,tutoring
14.9,english_sl,3,5,1,4,6,3,7.2,14,30,6,flashcards
15.5,french_sl,4,8,3,5,7,4,6.7,8,40,2,practice_tests
10.0,french_sl,7,5,7,4,8,7,9.6,9,25,5,notes_review
17.0,french_sl,5,5,5,5,7,8,7.3,12,25,5,online_videos
16.8,french_sl,7,4,2,7,6,5,7.2,8,20,4,flashcards
22.5,french_sl,5,6,5,6,5,4,6.1,12,35,5,practice_tests
25.0,chemistry,5,5,2,9,4,5,7.5,15,30,5,practice_tests
8.8,french_sl,7,6,7,3,7,5,8.0,7,45,7,online_videos
12.9,french_sl,7,6,4,4,6,8,7.5,18,40,5,flashcards
17.3,math_sl,6,6,6,7,4,7,7.2,15,20,5,group_study
15.0,chemistry,5,6,7,8,6,4,8.5,9,35,6,group_study
19.4,chemistry,5,5,4,1,6,6,8.8,18,40,3,practice_tests
13.5,math_sl,5,5,10,4,6,8,9.5,16,25,8,online_videos
16.7,french_sl,5,7,8,4,7,7,8.1,10,50,1,flashcards
27.4,chemistry,4,9,7,3,8,8,7.0,8,45,6,group_study
22.7,math_sl,4,4,3,3,4,7,7.4,16,40,3,tutoring
22.3,math_sl,5,6,6,4,6,5,7.1,15,40,4,online_videos
13.6,french_sl,5,5,8,5,4,5,9.4,6,30,7,online_videos
24.5,french_sl,3,6,6,6,5,6,8.2,8,25,4,tutoring
28.1,chemistry,5,5,6,5,3,8,6.3,12,20,4,tutoring
20.5,biology,5,8,6,9,7,7,6.0,11,45,5,flashcards
23.7,biology,6,9,4,5,8,6,7.1,9,50,4,tutoring
18.6,chemistry,5,7,8,6,5,5,8.2,11,20,3,practice_tests
17.7,english_sl,6,5,8,4,2,6,8.7,16,50,6,online_videos
19.5,math_sl,4,7,7,7,5,5,6.6,9,40,6,group_study
15.2,english_sl,7,6,4,7,5,6,6.5,13,30,6,flashcards
21.5,chemistry,6,6,3,6,5,6,5.7,16,25,5,online_videos
25.8,chemistry,6,8,4,4,4,2,8.6,5,40,7,group_study
13.7,math_sl,7,5,6,3,7,5,7.5,10,35,6,flashcards
18.8,english_sl,6,6,2,5,7,3,7.9,7,20,6,online_videos
18.5,english_sl,5,5,4,7,5,2,6.6,11,45,7,practice_tests
16.3,french_sl,7,7,7,9,6,9,9.5,10,35,4,flashcards
21.2,biology,3,4,5,2,7,7,7.7,15,45,4,online_videos
22.8,english_sl,3,5,6,7,4,6,7.8,12,40,7,group_study
18.6,french_sl,5,5,4,4,5,6,7.8,16,50,6,group_study
15.6,math_sl,6,5,6,6,5,9,7.4,9,35,4,online_videos
25.7,chemistry,4,6,2,6,3,4,7.0,12,45,4,flashcards
17.2,english_sl,5,4,2,5,5,7,6.4,10,50,6,flashcards
24.7,chemistry,6,7,4,8,4,6,8.1,7,20,7,tutoring
28.5,chemistry,6,7,5,6,7,7,7.5,16,20,4,flashcards
